이름,ZZZ 에이전트,대분류,소분류,피해유형,부가효과,소모 자원,리액션 태그,전용 버프,시너지
빠른 지원: 차선 변경,카이사르,지원스킬,빠른 지원,물리 피해,무적판정,,,,
회피 반격: 눈에는 눈 이에는 이,카이사르,회피스킬,회피 반격,물리 피해,무적판정,,,,
대시공격: 저돌맹진,카이사르,회피스킬,대시공격,물리 피해,,,,,
회피: 드리프트,카이사르,회피스킬,회피,-,무적판정,,,,
일반공격-홀드: 통행금지!,카이사르,일반공격,일반공격-홀드,물리 피해,무적판정,,,,
일반공격-탭: 광란의 타격,카이사르,일반공격,일반공격-탭,물리 피해,,,,,
빅토리아의 예절,코린,핵심스킬,추가 능력,-,피해증가,,,,"속성시너지-물리, 진영시너지"
내실 쌓기,코린,핵심스킬,핵심 패시브,-,피해증가,,,,
실례합니다!,코린,콤보공격,궁극기,물리 피해,무적판정,데시벨,,,
똑똑.. 똑똑!,코린,콤보공격,콤보 공격,물리 피해,무적판정,,,,
차 한 잔의 시간,코린,특수스킬,강화특수스킬-홀드,물리 피해,무적판정,에너지,,,
청소 시간,코린,특수스킬,특수스킬-홀드,물리 피해,경직저항증가,,,,
도와주세요!,코린,지원스킬,지원 돌격,물리 피해,"무적판정, 패링",,,,
"제, 제가 할게요!",코린,지원스킬,패링 지원,물리 피해,패링,,,,
긴급 조치,코린,지원스킬,빠른 지원,물리 피해,무적판정,,,,
[버리기],코린,회피스킬,회피 반격,물리 피해,무적판정,,,,
[벗어나기],코린,회피스킬,회피,-,무적판정,,,,
[깜짝 선물],코린,회피스킬,대시공격,물리 피해,,,,,
청소 시작,코린,일반공격,일반공격-홀드,물리 피해,,,,,
아주 무거워,파이퍼,특수스킬,특수스킬-탭,물리 피해,"높은그로기배율, 무적판정",,,,
함께 질주하자,파이퍼,핵심스킬,추가 능력,-,파티원피해증가,,,,"속성시너지-물리, 진영시너지"
파워 차지,파이퍼,핵심스킬,핵심 패시브,-,,,,동력,
꽉~ 잡아~,파이퍼,콤보공격,궁극기,물리 피해,무적판정,,,,
안전벨트는 필수,파이퍼,콤보공격,콤보 공격,물리 피해,무적판정,,,,
아주아주 무거워,파이퍼,특수스킬,강화특수스킬-탭,물리 피해,"높은그로기배율, 무적판정",,,,
엔진 스핀,파이퍼,특수스킬,강화특수스킬-홀드,물리 피해,경직저항증가,,,,
타이어 스핀,파이퍼,특수스킬,특수스킬-홀드,물리 피해,"경직저항증가, 높은그로기배율",,,,
코너 추월,파이퍼,지원스킬,지원 돌격,물리 피해,"높은그로기배율, 무적판정, 패링",,,,
급브레이크,파이퍼,지원스킬,패링 지원,물리 피해,"무적판정, 패링",,,,
탭 브레이크,파이퍼,지원스킬,빠른 지원,물리 피해,무적판정,,,,
파워 드리프트,파이퍼,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
가속 페달,파이퍼,회피스킬,대시공격,물리 피해,,,,,
안전 제일 / 핸드 브레이크 드리프트,파이퍼,회피스킬,회피,-,무적판정,,,,
원심력 / 운전 준비,파이퍼,일반공격,일반공격-홀드,물리 피해,,,,,
일반 공격: 민첩한 타격,펄크라,일반공격,일반공격-탭,물리 피해,,,,,
일반 공격: 도약 타격,펄크라,일반공격,일반공격-홀드,물리 피해,"이전 캐릭터 빠른지원",,,,
회피: 직립 반사,펄크라,회피스킬,회피,-,무적판정,,,,
대시 공격: 선제공격의 이점,펄크라,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 철저한 보복,펄크라,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
빠른 지원: 고용계약·경호 업무,펄크라,지원스킬,빠른 지원,물리 피해,무적판정,,,,
회피 지원: 고용계약·외주 작전,펄크라,지원스킬,회피 지원,-,"무적판정, 패링",,,,
지원 돌격: 별도 요금,펄크라,지원스킬,지원 돌격,물리 피해,"무적판정, 높은그로기배율",,,,
특수 스킬: 포식의 발톱,펄크라,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
특수 스킬: 포식의 발톱·악몽의 엄습,펄크라,특수스킬,특수스킬-홀드,물리 피해,"무적판정, 높은그로기배율",,,,
"강화 특수 스킬: 포식의 발톱·빠른 걸음",펄크라,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 높은그로기배율",에너지,추격,,
"콤보 스킬: 안녕, 이건 몰랐지?",펄크라,콤보공격,콤보 스킬,물리 피해,무적판정,,,트랩,
"궁극기: 자, 놀아 볼까?",펄크라,콤보공격,궁극기,물리 피해,무적판정,데시벨,,,
핵심 패시브: 사냥꾼의 본능,펄크라,핵심스킬,핵심 패시브,-,"연계공격발동, 피해증가",,,Hunter's Gait,
추가 능력: 비즈니스 파트너,펄크라,핵심스킬,추가 능력,-,"치명타확률증가",,,,"속성시너지-물리, 진영시너지"
"일반 공격: 궁극의 연타",반인호,일반공격,일반공격-탭,물리 피해,,,,,
"회피: 제비처럼 가벼운 몸짓",반인호,회피스킬,회피,-,무적판정,,,,
"대시 공격: 부글부글 끓는 기름",반인호,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 산과 바다를 뒤엎다",반인호,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 고개를 들면 행운이 있을지니",반인호,지원스킬,빠른 지원,물리 피해,무적판정,,,,
"패링 지원: 위협적인 존재감",반인호,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 기세를 몰아",반인호,지원스킬,지원 돌격,물리 피해,무적판정,,,,
"특수 스킬: 폭음점혈지",반인호,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
"특수 스킬: 단맥파혈수",반인호,특수스킬,특수스킬-홀드,물리 피해,무적판정,,,,
"강화 특수 스킬: 첩산진맥고",반인호,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 높은그로기배율",에너지,,,절명
"콤보 스킬: 요리사의 기합",반인호,콤보공격,콤보 스킬,물리 피해,무적판정,,,,
"궁극기: 진수성찬!",반인호,콤보공격,궁극기,물리 피해,"무적판정, 체력회복",데시벨,,,
"핵심 패시브: 기맥건곤",반인호,핵심스킬,핵심 패시브,-,피해증가,,,관입력,
"추가 능력: 판다의 위장",반인호,핵심스킬,추가 능력,-,,,,,"속성시너지-물리, 진영시너지"
"일반 공격: 너구리의 발톱",유즈하,일반공격,일반공격-탭,물리 피해,,,,,
"일반 공격: 너구리의 장막",유즈하,일반공격,일반공격-홀드,물리 피해,,,,,
"일반 공격: 하드 캔디 샷",유즈하,일반공격,일반공격-탭,물리 피해,,,,,
"일반 공격: 스프링클 버스트",유즈하,일반공격,일반공격-홀드,물리 피해,,,,,
"일반 공격: 스프링클 버스트·맥스",유즈하,일반공격,일반공격-홀드,물리 피해,,,,,
"일반 공격: 너구리의 도움",유즈하,일반공격,일반공격-홀드,물리 피해,,,,,
"회피: 깜짝 놀랐지?",유즈하,회피스킬,회피,-,무적판정,,,,
"대시 공격: 너 이제 큰일 났다!",유즈하,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 복수 시작~",유즈하,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 디저트 타임",유즈하,지원스킬,빠른 지원,물리 피해,무적판정,,,,
"패링 지원: 재미 더하기",유즈하,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 쿠키 한 조각 어때",유즈하,지원스킬,지원 돌격,물리 피해,무적판정,,,,
"지원 돌격: 필링 하드 캔디 샷",유즈하,지원스킬,지원 돌격,물리 피해,"무적판정, 혼돈",,,,
"특수 스킬: 젤리 폭격",유즈하,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
"강화 특수 스킬: 충치 조심해",유즈하,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 이상 축적 효율 상승",에너지,,,
"강화 특수 스킬: 충치 조심해, 바로 지금 말이야!",유즈하,특수스킬,강화특수스킬-홀드,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"달콤한 공포",유즈하,특수스킬,특수스킬-홀드,물리 피해,무적판정,,,,
"콤보 스킬: 짓궂은 공격",유즈하,콤보공격,콤보 스킬,물리 피해,"무적판정, 콤보 체인 강제 발동",,,,
"궁극기: 항복하면 안 잡아먹지",유즈하,콤보공격,궁극기,물리 피해,"무적판정, 콤보 체인 강제 발동",데시벨,,,
"핵심 패시브: 다채로운 기교",유즈하,핵심스킬,핵심 패시브,-,"혼돈, 이상피해증가",,,,
"추가 능력: 사람이 많을수록 재밌지",유즈하,핵심스킬,추가 능력,-,,,,,"속성시너지-물리, 진영시너지"
"일반 공격: 별의 서곡",앨리스,일반공격,일반공격-탭,물리 피해,,,,,
"일반 공격: 별빛 원무곡",앨리스,일반공격,일반공격-홀드,물리 피해,,,,,
"회피: 깡총대는 토끼",앨리스,회피스킬,회피,-,무적판정,,,,
"대시 공격: 검무의 바람",앨리스,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 검빛 의례",앨리스,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 얼터네이트 스탭",앨리스,지원스킬,빠른 지원,물리 피해,무적판정,,,,
"패링 지원: 패리 가드",앨리스,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 크로스 리포스트",앨리스,지원스킬,지원 돌격,물리 피해,무적판정,,,,
"특수 스킬: 여명 찌르기",앨리스,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
"강화 특수 스킬: 오로라 찌르기·북십자성",앨리스,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 이상피해증가",에너지,,,
"강화 특수 스킬: 오로라 찌르기·남십자성",앨리스,특수스킬,강화특수스킬-홀드,물리 피해,"무적판정, 이상축적상승",에너지,,,
"콤보 스킬: 별의 중간장",앨리스,콤보공격,콤보 스킬,물리 피해,무적판정,,,,
"궁극기: 별빛 피날레",앨리스,콤보공격,궁극기,물리 피해,무적판정,데시벨,,,
"핵심 패시브: 쌍둥이 무지개의 검심",앨리스,핵심스킬,핵심 패시브,-,이상피해증가,,,,
"추가 능력: 기묘한 곳을 찾아서",앨리스,핵심스킬,추가 능력,-,,,,,"속성시너지-물리, 진영시너지"
"일반 공격: 무엇을 도와드릴까요?",다이아린,일반공격,일반공격-탭,물리 피해,,,,,
"일반 공격: 가위바위보",다이아린,일반공격,일반공격-홀드,물리 피해,,,,,
"회피: 통화 중",다이아린,회피스킬,회피,-,무적판정,,,,
"대시 공격: 갑자기 걸려온 전화",다이아린,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 수신 불가",다이아린,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 착신 전환",다이아린,지원스킬,빠른 지원,물리 피해,무적판정,,,,
"패링 지원: 통화 거절",다이아린,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 연속 호출",다이아린,지원스킬,지원 돌격,물리 피해,무적판정,,,,
"강화 특수 스킬: 고객 배웅!",다이아린,특수스킬,강화특수스킬-홀드,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"특수 스킬: 환영의 제스처",다이아린,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
"강화 특수 스킬: 바위",다이아린,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"강화 특수 스킬: 가위",다이아린,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"강화 특수 스킬: 보!",다이아린,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"콤보 스킬: 웰컴 매트",다이아린,콤보공격,콤보 스킬,물리 피해,"무적판정, 강제 체인 발동",,,,
"궁극기: 고객님의 번호가 정지되었습니다",다이아린,콤보공격,궁극기,물리 피해,"무적판정, 강제 체인 발동",데시벨,,,
"핵심 패시브: 별점 5점 고객센터 핫라인",다이아린,핵심스킬,핵심 패시브,-,"그로기, 이상피해증가",,,,
"추가 능력: 전화 찬스",다이아린,핵심스킬,추가 능력,-,,,,,"속성시너지-물리, 진영시너지"
"일반 공격: 빠른 검",엽빛나,일반공격,일반공격-탭,물리 피해,,,,,
"일반 공격: 구름의 검의",엽빛나,일반공격,일반공격-홀드,물리 피해,,,,,
"일반 공격: 명심경·갈라지는 물줄기",엽빛나,일반공격,명심경,물리 피해,,,,명심경,
"일반 공격: 명심경·솟구치는 기세",엽빛나,일반공격,명심경,물리 피해,,,,명심경,
"일반 공격: 명심경·참광·극",엽빛나,일반공격,명심경,물리 피해,,,,명심경,
"일반 공격: 명심경·참광",엽빛나,일반공격,명심경,물리 피해,,,,명심경,
"일반 공격: 명심경·참광·멸",엽빛나,일반공격,명심경,물리 피해,,,,명심경,
"일반 공격: 극치",엽빛나,일반공격,스탠스,-,피해증가,,,극치,
"회피: 흔적 없는 걸음",엽빛나,회피스킬,회피,-,무적판정,,,,
"회피: 구름의 종적",엽빛나,회피스킬,회피,-,무적판정,,,,
"대시 공격: 그림자 같은 질주",엽빛나,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 제비 같은 민첩함",엽빛나,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
"등장 스킬: 비춰진 그림자",엽빛나,지원스킬,등장 스킬,물리 피해,,,,,
"빠른 지원: 수비 지원",엽빛나,지원스킬,빠른 지원,물리 피해,무적판정,,,,
"지원 돌격: 다툼 종결",엽빛나,지원스킬,지원 돌격,물리 피해,무적판정,,,,
"패링 지원: 돌아갈 때",엽빛나,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"빠른 지원: 명심경·응전",엽빛나,지원스킬,빠른 지원,물리 피해,무적판정,,,명심경,
"지원 돌격: 명심경·통합",엽빛나,지원스킬,지원 돌격,물리 피해,무적판정,,,명심경,
"특수 스킬: 파도를 인도하는 자",엽빛나,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
"강화 특수 스킬: 파란 평정",엽빛나,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"특수 스킬: 명심경·옷자락을 털고",엽빛나,특수스킬,특수스킬,물리 피해,경직저항증가,,,명심경,
"강화 특수 스킬: 명심경·섬광",엽빛나,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 피해증가",에너지,,명심경,
"강화 특수 스킬: 명심경·귀결",엽빛나,특수스킬,강화특수스킬-홀드,물리 피해,"무적판정, 데미지버프",에너지,,명심경,
"콤보 스킬: 악을 베어내리",엽빛나,콤보공격,콤보 스킬,물리 피해,무적판정,,,,
"궁극기: 운무를 흐리는 전격",엽빛나,콤보공격,궁극기,물리 피해,무적판정,데시벨,,,
"콤보 스킬: 명심경·거친 우레",엽빛나,콤보공격,콤보 스킬,물리 피해,무적판정,,,명심경,
"궁극기: 망념을 베고 하늘을 열리",엽빛나,콤보공격,궁극기,물리 피해,무적판정,데시벨,,명심경,
"핵심 패시브: 무명 타파",엽빛나,핵심스킬,핵심 패시브,-,피해증가,,,,
"추가 능력: 거스르는 빛",엽빛나,핵심스킬,추가 능력,-,,,,,"속성시너지-물리, 진영시너지"
"일반 공격: 장난스런 별망치",수나,일반공격,일반공격-탭,물리 피해,,,,,
"일반 공격: 짓궃은 고양이, 등장!",수나,일반공격,일반공격-홀드,물리 피해,,,,,
"회피: 안 맞지롱",수나,회피스킬,회피,-,무적판정,,,,
"대시 공격: 치솟는 망치",수나,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 망상의 삼진",수나,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 광음의 연타",수나,지원스킬,빠른 지원,물리 피해,무적판정,,,,
"패링 지원: 무대 공포증",수나,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 점프 연습",수나,지원스킬,지원 돌격,물리 피해,무적판정,,,,
"특수 스킬: 스타 슈터",수나,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
"강화 특수 스킬: 방울껌 폭격",수나,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"강화 특수 스킬: 특별한 촬영 기법",수나,특수스킬,강화특수스킬-홀드,물리 피해,"무적판정, 높은그로기배율",에너지,,,
"콤보 스킬: 고양이를 화나게 하지 마",수나,콤보공격,콤보 스킬,물리 피해,무적판정,,,,
"궁극기: 전부 부숴버리겠어!",수나,콤보공격,궁극기,물리 피해,무적판정,데시벨,,,
"핵심 패시브: 귀여움이 곧 정의",수나,핵심스킬,핵심 패시브,-,피해감소,,,,
"추가 능력: 백일몽 대립법",수나,핵심스킬,추가 능력,-,,,,,"속성시너지-물리, 진영시너지"
"일반 공격: 워밍업 스파크",11호,일반공격,일반공격-탭,불 피해,,,,,
"일반 공격: 화력 진압",11호,일반공격,일반공격-특수,불 피해,,,화력 진압,
"회피: 어닐링",11호,회피스킬,회피,-,무적판정,,,,
"대시 공격: 이글거리는 불꽃",11호,회피스킬,대시공격,불 피해,,,,,
"대시 공격: 화력 진압",11호,회피스킬,대시공격-특수,불 피해,,,화력 진압,
"회피 반격: 역화",11호,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 화력 엄호",11호,지원스킬,빠른 지원,불 피해,무적판정,,,,
"패링 지원: 방어선 다지기",11호,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 재점화",11호,지원스킬,지원 돌격,불 피해,무적판정,,,,
"특수 스킬: 맹렬한 불꽃",11호,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,,
"강화 특수 스킬: 타오르는 맹렬한 불꽃",11호,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,화력 진압,
"콤보 스킬: 드높은 불꽃",11호,콤보공격,콤보 스킬,불 피해,무적판정,,,,화력 진압,
"궁극기: 터지는 불꽃",11호,콤보공격,궁극기,불 피해,무적판정,데시벨,,화력 진압,
"핵심 패시브: 뜨거운 파도",11호,핵심스킬,핵심 패시브,-,피해증가,,,화력 진압,
"추가 능력: 불타는 벌판",11호,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
"일반 공격: 압착, 분쇄",콜레다,일반공격,일반공격-탭,불 피해,,,,,
"회피: 두고 보자",콜레다,회피스킬,회피,-,무적판정,,,,
"대시 공격: 떨게 해주지",콜레다,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 무시하지 마",콜레다,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 내가 할게",콜레다,지원스킬,빠른 지원,불 피해,무적판정,,,,
"패링 지원: 호신용 망치",콜레다,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 해머 벨",콜레다,지원스킬,지원 돌격,불 피해,무적판정,,,,
"특수 스킬: 폭파! 해머 타임",콜레다,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,용광로 가열,
"강화 특수 스킬: 끓는 용광로",콜레다,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,용광로 가열,벤 협동 공격
"콤보 스킬: 하늘이 무너지고 땅이 갈라진다",콜레다,콤보공격,콤보 스킬,불 피해,무적판정,,,,용광로 가열,벤 협동 공격
"궁극기: 바닥에 처박아주마!",콜레다,콤보공격,궁극기,불 피해,무적판정,데시벨,,용광로 가열,벤 협동 공격
"핵심 패시브: 폭파 망치",콜레다,핵심스킬,핵심 패시브,-,그로기수치증가,,,용광로 가열,
"추가 능력: 벨로보그 경영학",콜레다,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
"일반 공격: 정산",벤,일반공격,일반공격-탭,물리 피해,,,,,
"회피: 영수증 오류",벤,회피스킬,회피,-,무적판정,,,,
"대시 공격: 비용 청구",벤,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 청산",벤,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 공동 채권추심",벤,지원스킬,빠른 지원,불 피해,무적판정,,,,
"패링 지원: 위험 분산",벤,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 계약 위반 징벌",벤,지원스킬,지원 돌격,불 피해,무적판정,,,,
"특수 스킬: 채「권」 통계",벤,특수스킬,특수스킬-탭,불 피해,가드판정,,,쉴드,
"강화 특수 스킬: 만기를 알리는 주먹",벤,특수스킬,강화특수스킬-탭,불 피해,"가드판정, 무적판정",에너지,,쉴드,
"콤보 스킬: 날인, 결산",벤,콤보공격,콤보 스킬,불 피해,무적판정,,,,쉴드,
"궁극기: 채「권」, 전면 청산",벤,콤보공격,궁극기,불 피해,무적판정,데시벨,,쉴드,
"핵심 패시브: 수비",벤,핵심스킬,핵심 패시브,-,치명타확률증가,,,가드,
"추가 능력: 합의 계약",벤,핵심스킬,추가 능력,-,,,,,"속성시너지-불, 진영시너지"
"일반 공격: 숙녀의 방망이",루시,일반공격,일반공격-탭,물리 피해,,,,,
"친위대 새끼 멧돼지: 무기를 들자!",루시,일반공격,소환수 공격,물리 피해,,,가드 보어,
"친위대 새끼 멧돼지: 회전 타법!",루시,일반공격,소환수 공격,불 피해,,,가드 보어,
"회피: 볼!",루시,회피스킬,회피,-,무적판정,,,,
"대시 공격: 저돌적으로!",루시,회피스킬,대시공격,물리 피해,,,,,
"회피 반격: 송곳니 반응!",루시,회피스킬,회피 반격,불 피해,"높은그로기배율, 무적판정",,,,
"빠른 지원: 사구!",루시,지원스킬,빠른 지원,불 피해,무적판정,,,,
"패링 지원: 세이프!",루시,지원스킬,패링 지원,-,"무적판정, 패링",,,,
"지원 돌격: 홈인!",루시,지원스킬,지원 돌격,불 피해,무적판정,,,,
"특수 스킬: 안타!",루시,특수스킬,특수스킬-탭,불 피해,경직저항증가,,,,
"강화 특수 스킬: 홈런!",루시,특수스킬,강화특수스킬-탭,불 피해,"무적판정, 높은그로기배율",에너지,,가드 보어,
"특수 스킬: 파이팅!",루시,특수스킬,버프,-,파티공격력증가,,,파이팅!,빠른 지원 연계
"콤보 스킬: 만루 홈런!",루시,콤보공격,콤보 스킬,불 피해,무적판정,,,,파이팅!,
"궁극기: 끝내기 홈런!",루시,콤보공격,궁극기,불 피해,무적판정,데시벨,,파이팅!,가드 보어
